Designator,Mid X,Mid Y,Layer,Rotation
C1,59.69,33.02,Top,0.0
C2,74.93, 7.62,Top,180.0
C3,24.13,11.43,Top,0.0
C4,74.93,12.70,Top,180.0
C5,74.93,27.94,Top,0.0
D81,29.21,59.69,Top,0.0
D82,39.37,59.69,Top,0.0
D83,29.21,54.61,Top,0.0
D84,19.05,59.69,Top,0.0
D85,39.37,54.61,Top,0.0
D86,62.23,62.23,Top,0.0
D87,73.66,62.23,Top,0.0
D88,62.23,49.53,Top,0.0
D89,50.80,62.23,Top,0.0
D90,73.66,49.53,Top,0.0
D91,88.90,54.61,Top,180.0
D92,88.90,52.07,Top,180.0
D93,88.90,49.53,Top,180.0
D94,88.90,46.99,Top,180.0
F1,86.36,19.05,Top,0.0
F2,86.36,10.16,Top,0.0
IC2,74.93,20.32,Top,0.0
JP3,69.85, 3.81,Top,0.0
POWER_IN,92.71,34.29,Top,270.0
R125,24.13,59.69,Top,0.0
R126,34.29,59.69,Top,0.0
R127,24.13,54.61,Top,0.0
R128,34.29,54.61,Top,0.0
R129,13.97,59.69,Top,0.0
R130,83.82,54.61,Top,180.0
R131,83.82,52.07,Top,180.0
R132,83.82,49.53,Top,180.0
R133,50.80,66.04,Top,0.0
R134,73.66,52.07,Top,0.0
R135,62.23,52.07,Top,0.0
R136,73.66,66.04,Top,0.0
R137,62.23,66.04,Top,0.0
R139,83.82,46.99,Top,180.0
R220,57.15,62.23,Top,0.0
R221,68.58,62.23,Top,0.0
R222,57.15,49.53,Top,0.0
R223,68.58,49.53,Top,0.0
R224,45.72,62.23,Top,0.0
S1,62.23,57.15,Top,0.0
S2,73.66,57.15,Top,0.0
S3,62.23,44.45,Top,0.0
S4,73.66,44.45,Top,0.0
S5,50.80,57.15,Top,0.0
U$1,45.72,17.78,Top,0.0
ULN2,33.02,44.45,Top,0.0
X1, 6.35,35.56,Top,90.0
X2, 6.35,57.15,Top,90.0
X3,21.59,73.66,Top,0.0
X4,43.18,73.66,Top,0.0
X5,64.77,73.66,Top,0.0
X6,85.09,67.31,Top,270.0
