Designator,Mid X,Mid Y,Layer,Rotation
BUTTON_BLUE,59.69,72.39,Top,90.0
BUTTON_ENABLE,86.36,72.39,Top,90.0
BUTTON_GREEN,50.80,72.39,Top,90.0
BUTTON_RED,41.91,72.39,Top,90.0
BUTTON_WHITE,77.47,72.39,Top,90.0
BUTTON_YELLOW,68.58,72.39,Top,90.0
C1,59.69,33.02,Top,0.0
C2,74.93, 7.62,Top,180.0
C3,24.13,11.43,Top,0.0
C4,74.93,12.70,Top,180.0
C5,74.93,27.94,Top,0.0
D1,88.90,52.07,Top,180.0
D81,21.59,62.23,Top,0.0
D82,33.02,62.23,Top,0.0
D83,21.59,49.53,Top,0.0
D84,10.16,62.23,Top,0.0
D85,33.02,49.53,Top,0.0
D86,60.96,62.23,Top,0.0
D87,72.39,62.23,Top,0.0
D88,60.96,49.53,Top,0.0
D89,49.53,62.23,Top,0.0
D90,72.39,49.53,Top,0.0
D91,88.90,62.23,Top,180.0
D92,88.90,59.69,Top,180.0
D93,88.90,57.15,Top,180.0
D94,88.90,54.61,Top,180.0
F1,83.82,19.05,Top,180.0
F2,83.82,10.16,Top,180.0
IC1,25.40,41.91,Top,90.0
IC2,74.93,20.32,Top,0.0
J1,13.97,71.12,Top,90.0
J2, 8.89,40.64,Top,270.0
JP3,69.85, 3.81,Top,0.0
JP_ENABLE,96.52,67.31,Top,0.0
POWER_IN,93.98,34.29,Top,270.0
R1,83.82,52.07,Top,0.0
R2,96.52,62.23,Top,0.0
R125,25.40,62.23,Top,0.0
R126,36.83,62.23,Top,0.0
R127,25.40,49.53,Top,0.0
R128,36.83,49.53,Top,0.0
R129,13.97,62.23,Top,0.0
R130,83.82,62.23,Top,180.0
R131,83.82,59.69,Top,180.0
R132,83.82,57.15,Top,180.0
R133,45.72,62.23,Top,0.0
R134,68.58,49.53,Top,0.0
R135,57.15,49.53,Top,0.0
R136,68.58,62.23,Top,0.0
R137,57.15,62.23,Top,0.0
R139,83.82,54.61,Top,180.0
R220,57.15,59.69,Top,0.0
R221,68.58,59.69,Top,0.0
R222,57.15,46.99,Top,0.0
R223,68.58,46.99,Top,0.0
R224,45.72,59.69,Top,0.0
S1,60.96,54.61,Top,0.0
S2,72.39,54.61,Top,0.0
S3,60.96,41.91,Top,0.0
S4,72.39,41.91,Top,0.0
S5,49.53,54.61,Top,0.0
U$1,45.72,17.78,Top,0.0
ULN2,41.91,35.56,Top,90.0
